temperature,tiltState,digitalVibrationState,soundState,analogVibration,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,label
26.69,1,0,1,732,0.08,-0.06,-1.05,-0.9,-0.92,0.07,1
26.79,1,0,1,732,0.1,-0.05,-1.06,0.3,-1.31,0.05,1
26.79,1,0,1,731,0.08,-0.06,-1.03,-0.85,-0.59,0.08,1
26.79,1,0,1,731,0.11,-0.06,-1.06,0.48,-1.57,0.21,1
26.69,1,0,1,732,0.07,-0.08,-1.04,-1.1,-0.44,0.11,1
26.79,1,0,1,730,0.12,-0.05,-1.06,0.58,-1.77,0.23,1
26.88,1,0,1,731,0.06,-0.09,-1.04,-0.87,-0.38,0.13,1
26.79,1,0,1,730,0.11,-0.04,-1.06,0.97,-1.62,0.2,1
26.84,1,0,1,731,0.06,-0.1,-1.03,-0.96,-0.02,0.1,1
26.84,1,0,1,729,0.12,-0.04,-1.06,1.09,-1.82,0.11,1
26.84,1,0,1,731,0.04,-0.12,-1.04,-1.25,0.13,0.08,1
26.74,1,0,1,732,0.14,-0.01,-1.06,1.05,-2.06,0.22,1
26.74,1,0,1,731,0.04,-0.13,-1.03,-1.56,-0.11,0.09,1
26.74,1,0,1,730,0.16,0,-1.04,0.67,-2.47,0.43,1
26.84,1,0,1,729,0.04,-0.16,-1.05,-2.35,0.47,0.15,1
26.74,1,0,1,732,0.15,0.03,-1.05,0.56,-2.89,0.21,1
26.84,1,0,1,731,-0.01,-0.19,-1.07,-2.31,0.13,-0.06,1
26.74,1,0,1,731,0.14,0.05,-1.04,0.94,-2.28,0.44,1
26.93,1,0,1,728,0.03,-0.21,-1.07,-2.52,0.29,0.04,1
26.84,1,0,1,730,0.16,0.04,-1.01,0.12,-1.68,0.5,1
26.84,1,0,1,732,0.08,-0.23,-1.06,-4.78,0.04,-0.29,1
26.93,1,0,1,725,0.22,0.07,-1.09,-1.44,-2.24,0.56,1
26.93,1,0,1,724,0.11,-0.27,-1.64,4.68,2.14,-0.18,1
26.84,1,0,1,725,0.14,0.09,-0.43,-9.54,-5.44,1.21,1
26.84,1,0,1,734,0.03,-0.05,-0.37,-14.44,-5.5,1.4,1
26.84,1,0,1,736,0.04,-0.07,-1.01,23.26,-1.63,-1.86,1
26.88,1,0,1,722,0.09,-0.04,-0.92,-5.28,-1.84,0.75,1
26.88,1,0,1,722,0.08,-0.06,-0.89,-2.82,-1.32,-0.01,1
26.98,1,0,1,723,0.1,-0.05,-0.91,-0.79,-1.38,0.09,1
26.84,1,0,1,725,0.08,-0.07,-0.89,-0.64,-1.15,-0.11,1
26.93,1,0,1,728,0.1,-0.05,-0.95,0.18,-1.37,0.11,1
27.02,1,0,1,728,0.08,-0.06,-0.95,0.29,-0.89,0.26,1
26.93,1,0,1,727,0.1,-0.06,-1.11,0.36,-1.13,0.27,1
26.93,1,0,1,727,0.09,-0.07,-1.2,-0.24,-1.05,-0.15,1
26.93,1,0,1,726,0.1,-0.07,-1.2,-0.56,-1.3,0.21,1
27.02,1,0,1,725,0.08,-0.07,-1.03,-0.78,-1.08,0.08,1
27.02,1,0,1,723,0.09,-0.06,-1.02,-0.34,-1.09,0.21,1
26.93,1,0,1,723,0.09,-0.06,-1.06,-0.6,-1.03,0.3,1
26.88,1,0,1,720,0.1,-0.06,-1.03,-0.26,-1,0.05,1
27.07,1,0,1,724,0.08,-0.07,-1.05,-0.49,-1.1,0.26,1
26.93,1,0,1,722,0.1,-0.06,-1,-0.44,-0.99,0.23,1
26.98,1,0,1,724,0.09,-0.07,-1.04,-0.4,-1.15,0.21,1
26.93,1,0,1,724,0.1,-0.06,-1.05,-0.31,-0.86,0.25,1
26.93,1,0,1,724,0.09,-0.07,-1.05,-0.32,-1.03,0.31,1
26.93,1,0,1,724,0.1,-0.06,-1.04,-0.6,-1.13,0.25,1
26.93,1,0,1,724,0.09,-0.07,-1.05,-0.27,-1.3,0.21,1
26.93,1,0,1,726,0.1,-0.06,-1.04,-0.61,-1,0.13,1
27.02,1,0,1,726,0.08,-0.07,-1.05,-0.2,-1.24,0.31,1
27.02,1,0,1,726,0.1,-0.06,-1.05,-0.63,-1.12,0.24,1
27.02,1,0,1,726,0.08,-0.07,-1.05,-0.05,-0.92,0.13,1
26.98,1,0,1,727,0.1,-0.07,-1.04,-0.99,-0.92,0.2,1
26.98,1,0,1,726,0.09,-0.07,-1.04,-0.26,-1.11,0.3,1
26.98,1,0,1,726,0.09,-0.06,-1.05,-0.84,-1.03,0.21,1
27.07,1,0,1,724,0.09,-0.07,-1.04,-0.02,-1.3,0.14,1
27.07,1,0,1,723,0.09,-0.06,-1.04,-0.84,-0.95,0.13,1
27.07,1,0,1,725,0.1,-0.06,-1.06,0.32,-1.46,0.18,1
27.07,1,0,1,722,0.09,-0.06,-1.05,-0.31,-1.11,0.37,1
27.07,1,0,1,723,0.09,-0.06,-1.05,-0.33,-1.05,0.12,1
27.07,1,0,1,721,0.08,-0.06,-1.06,-0.2,-1.09,0.18,1
27.07,1,0,1,720,0.1,-0.07,-1.05,-0.3,-1.01,0.14,1
27.07,1,0,1,719,0.09,-0.06,-1.05,-0.35,-1.27,0.12,1
27.02,1,0,1,719,0.1,-0.06,-1.05,-0.46,-1.21,0.03,1
27.02,1,0,1,719,0.09,-0.06,-1.04,-0.39,-1.07,0.23,1
27.02,1,0,1,717,0.09,-0.07,-1.05,-0.44,-1.09,0.2,1
27.02,1,0,1,718,0.09,-0.06,-1.04,-0.16,-1.08,0.25,1
27.02,1,0,1,718,0.09,-0.07,-1.05,-0.27,-1.08,0.28,1
27.02,1,0,1,720,0.09,-0.06,-1.05,-0.47,-1,0.14,1
27.07,1,0,1,719,0.09,-0.06,-1.05,-0.37,-1.07,0.24,1
27.02,1,0,1,718,0.09,-0.07,-1.05,-0.4,-1.17,0.15,1
27.17,1,0,1,719,0.09,-0.06,-1.05,-0.25,-1.15,0.16,1
27.07,1,0,1,719,0.1,-0.07,-1.05,-0.43,-0.88,0.32,1
27.07,1,0,1,720,0.09,-0.07,-1.05,-0.47,-1.02,0.04,1
26.93,1,0,1,719,0.09,-0.06,-1.06,-0.4,-1.18,0.06,1
27.12,1,0,1,719,0.09,-0.07,-1.05,-0.62,-1.15,0.21,1
27.12,1,0,1,721,0.09,-0.06,-1.04,-0.29,-1,0.04,1
27.12,1,0,1,719,0.09,-0.07,-1.05,-0.47,-0.79,0.05,1
28.67,1,0,1,612,0.09,-0.14,-1.2,0.63,-1.26,0.1,1
28.72,1,0,1,609,0.08,-0.13,-1.1,-0.36,-1.24,0.18,1
28.58,1,0,1,611,0.08,-0.11,-1.01,-0.76,-1.22,0.37,1
28.62,1,0,1,610,0.08,-0.11,-1.03,0.03,-1.11,0.28,1
28.67,1,0,1,608,0.08,-0.12,-1.05,-1.17,-1.25,0.11,1
28.53,1,0,1,607,0.08,-0.12,-1,0.02,-0.98,0.34,1
28.72,1,0,1,609,0.08,-0.11,-0.98,-0.6,-0.9,0.18,1
28.62,1,0,1,607,0.08,-0.1,-0.87,-3.29,-0.7,0.47,1
28.72,1,0,1,609,0.08,-0.11,-1,-0.39,-1.33,0.11,1
28.62,1,0,1,610,0.08,-0.12,-1.01,-1.66,-0.69,0.27,1
28.62,1,0,1,608,0.08,-0.12,-1.04,-0.22,-1.07,0.1,1
28.72,1,0,1,608,0.09,-0.12,-1.03,-0.05,-1.13,0.42,1
28.72,1,0,1,609,0.08,-0.12,-1.06,-0.3,-0.88,0.17,1
28.72,1,0,1,609,0.09,-0.12,-1.09,-0.5,-1.03,0.03,1
28.62,1,0,1,611,0.09,-0.12,-1.08,-0.36,-1.08,0.29,1
28.62,1,0,1,611,0.09,-0.12,-1.07,-0.06,-1.08,0.1,1
28.72,1,0,1,610,0.08,-0.12,-1.04,-0.49,-1.13,0.18,1
28.62,1,0,1,610,0.09,-0.12,-1.06,-0.44,-1.18,0.14,1
28.53,1,0,1,610,0.08,-0.13,-1.2,-0.01,-0.95,-0.07,1
28.67,1,0,1,611,0.09,-0.12,-1.06,-0.52,-1.02,0.1,1
28.67,1,0,1,610,0.08,-0.11,-0.99,-0.76,-1.05,0.18,1
28.77,1,0,1,611,0.09,-0.12,-1.08,-0.13,-1.02,0.31,1
28.58,1,0,1,611,0.09,-0.14,-1.21,0.53,-1.33,0.13,1
28.67,1,0,1,609,0.09,-0.14,-1.18,-0.04,-1.32,0.16,1
28.67,1,0,1,608,0.08,-0.12,-1.03,-0.45,-0.79,0.16,1
28.67,1,0,1,611,0.09,-0.13,-1.15,-0.47,-1.34,-0.08,1
28.67,1,0,1,611,0.08,-0.11,-0.96,-0.29,-0.94,0.31,1
28.67,1,0,1,608,0.08,-0.12,-1.03,0.02,-0.93,0.24,1
28.77,1,0,1,608,0.09,-0.13,-1.11,-0.79,-1.15,0.06,1
28.58,1,0,1,609,0.08,-0.12,-1,-0.11,-1.18,0.31,1
28.77,1,0,1,608,0.08,-0.12,-1.03,-0.15,-0.92,-0.02,1
28.67,1,0,1,607,0.08,-0.13,-1.09,-0.29,-1.52,0.13,1
28.67,1,0,1,606,0.08,-0.12,-1.03,-0.85,-1.12,0.19,1
28.67,1,0,1,609,0.09,-0.12,-1.07,-0.26,-1.13,0.08,1
28.77,1,0,1,607,0.08,-0.12,-1.01,0.21,-1.14,0.28,1
28.77,1,0,1,605,0.09,-0.13,-1.14,-1.08,-1,0.12,1
28.67,1,0,1,604,0.08,-0.12,-1.04,-0.5,-0.99,0.21,1
28.67,1,0,1,605,0.08,-0.1,-0.93,-0.91,-0.92,0.19,1
28.77,1,0,1,605,0.09,-0.13,-1.13,0.37,-1.11,0.2,1
28.77,1,0,1,605,0.09,-0.14,-1.15,-0.73,-0.95,0.27,1
28.67,1,0,1,605,0.08,-0.14,-1.14,-0.34,-1.05,0.21,1
28.67,1,0,1,607,0.08,-0.13,-1.04,-0.34,-1.07,0.11,1
28.77,1,0,1,610,0.08,-0.13,-1.09,-0.46,-1.02,0.2,1
28.77,1,0,1,610,0.08,-0.12,-1.01,-0.37,-1.27,0.2,1
28.72,1,0,1,609,0.08,-0.12,-1.04,-0.83,-0.93,0.18,1
28.72,1,0,1,608,0.08,-0.11,-0.99,-0.71,-0.89,0.16,1
28.81,1,0,1,607,0.08,-0.12,-1.07,-0.61,-1.22,0.15,1
28.62,1,0,1,607,0.08,-0.13,-1.09,-0.27,-1.03,0.27,1
28.72,1,0,1,610,0.08,-0.13,-1.06,-0.21,-1.12,0.01,1
28.72,1,0,1,610,0.08,-0.12,-0.96,-1.91,-0.78,0.37,1
28.81,1,0,1,612,0.09,-0.13,-1.12,-0.1,-0.53,0.3,1
28.81,1,0,1,610,0.07,-0.09,-0.74,-0.45,-0.84,0.39,1
28.81,1,0,1,612,0.08,-0.13,-1.13,0.31,-1.05,0.04,1
28.72,1,0,1,609,0.08,-0.12,-1,-0.54,-0.85,0.18,1
28.72,1,0,1,611,0.09,-0.15,-1.19,-0.92,-1.23,-0.26,1
28.81,1,0,1,611,0.09,-0.15,-1.27,-0.58,-0.15,0.35,1
28.62,1,0,1,610,0.08,-0.14,-1.2,-0.12,-0.98,0.09,1
28.81,1,0,1,610,0.08,-0.14,-1.17,-0.38,-1.62,0.07,1
28.72,1,0,1,609,0.09,-0.14,-1.21,1.27,-0.97,-0.02,1
28.81,1,0,1,613,0.09,-0.13,-1.1,0.88,-1.07,0.34,1
28.81,1,0,1,610,0.08,-0.13,-1.05,-0.45,-1.34,0.05,1
28.62,1,0,1,609,0.08,-0.14,-1.15,-1.11,-0.82,0.22,1
28.62,1,0,1,609,0.08,-0.12,-1.05,-0.41,-0.94,0.27,1
28.72,1,0,1,609,0.07,-0.1,-0.89,-1.7,-0.92,0.37,1
28.72,1,0,1,608,0.08,-0.14,-1.12,-0.14,-1.08,0.18,1
28.81,1,0,1,608,0.08,-0.13,-1.07,-0.52,-0.97,0.09,1
28.62,1,0,1,608,0.08,-0.14,-1.13,-0.04,-0.96,-0.01,1
28.81,1,0,1,610,0.1,-0.15,-1.24,-0.67,-1.48,-0.03,1
28.67,1,0,1,614,0.08,-0.13,-1.05,-1.26,-0.76,0.24,1
28.67,1,0,1,612,0.09,-0.12,-1.03,-0.4,-1.09,0.24,1
28.77,1,0,1,609,0.08,-0.14,-1.12,-0.56,-1.11,0.11,1
28.67,1,0,1,610,0.08,-0.14,-1.15,-0.11,-1.33,-0.03,1
28.72,1,0,1,610,0.08,-0.1,-0.86,-1.91,0.27,0.49,1
28.77,1,0,1,606,0.08,-0.12,-0.93,-0.16,-0.89,0.27,1
28.77,1,0,1,606,0.09,-0.13,-1.07,-1.3,-0.95,0.09,1
28.77,1,0,1,609,0.08,-0.11,-0.92,-2.15,-0.91,0.18,1
28.77,1,0,1,613,0.08,-0.14,-1.14,0.08,-0.99,0.26,1
28.86,1,0,1,615,0.07,-0.12,-0.98,0.02,-1.13,0.18,1
28.77,1,0,1,613,0.08,-0.13,-1.06,-0.73,-0.97,0.37,1
28.77,1,0,1,612,0.08,-0.12,-0.97,-0.55,-0.96,0.13,1
28.77,1,0,1,606,0.08,-0.12,-1.06,-0.24,-0.99,0.18,1
28.77,1,0,1,610,0.08,-0.13,-1.05,-0.35,-1.13,0.27,1
28.72,1,0,1,610,0.08,-0.13,-1.06,-0.58,-0.9,0.19,1
28.86,1,0,1,609,0.08,-0.13,-1.05,-0.6,-0.89,0.09,1
28.81,1,0,1,608,0.08,-0.13,-1.05,-0.46,-1.11,0.24,1
28.86,1,0,1,610,0.08,-0.13,-1.05,-0.55,-1.04,-0.01,1
28.81,1,0,1,611,0.08,-0.13,-1.05,-0.5,-1.11,0.2,1
28.81,1,0,1,610,0.08,-0.13,-1.06,-0.4,-1.11,0.2,1
28.72,1,0,1,610,0.09,-0.12,-1.05,-0.53,-1.13,0.18,1
28.81,1,0,1,610,0.08,-0.13,-1.05,-0.34,-1.15,0.34,1
28.81,1,0,1,608,0.08,-0.13,-1.05,-0.65,-0.97,0.03,1
28.81,1,0,1,608,0.08,-0.13,-1.05,-0.5,-0.97,0.06,1
28.81,1,0,1,608,0.08,-0.13,-1.05,-0.48,-1.02,0.17,1
28.81,1,0,1,609,0.08,-0.14,-1.05,-0.53,-1.2,0.18,1
28.72,1,0,1,609,0.08,-0.13,-1.05,-0.37,-1.07,-0.01,1
28.72,1,0,1,610,0.08,-0.13,-1.05,-0.66,-1.28,0.1,1
28.81,1,0,1,611,0.09,-0.13,-1.06,-0.36,-1.19,0.15,1
28.81,1,0,1,611,0.08,-0.12,-1.05,-0.49,-1.28,0.02,1
28.81,1,0,1,610,0.08,-0.14,-1.06,-0.26,-1.2,0.27,1
28.77,1,0,1,607,0.09,-0.12,-1.05,-0.56,-1.08,0.06,1
28.86,1,0,1,608,0.08,-0.13,-1.05,-0.61,-1.07,0.31,1
28.77,1,0,1,608,0.08,-0.13,-1.05,-0.35,-1.17,0.35,1
28.86,1,0,1,609,0.08,-0.13,-1.05,-0.35,-1.05,0.24,1
28.77,1,0,1,612,0.08,-0.13,-1.04,-0.27,-0.91,0.23,1
28.77,1,0,1,615,0.08,-0.13,-1.05,-0.58,-1.2,0.23,1
28.86,1,0,1,612,0.08,-0.13,-1.06,-0.39,-1.06,0.21,1
28.77,1,0,1,610,0.08,-0.12,-1.05,-0.4,-0.93,0.1,1
28.86,1,0,1,610,0.08,-0.13,-1.06,-0.35,-0.95,0.3,1
28.77,1,0,1,608,0.08,-0.13,-1.06,-0.49,-1.17,0.02,1
28.95,1,0,1,609,0.08,-0.14,-1.05,-0.47,-1.17,0.04,1
28.86,1,0,1,607,0.08,-0.13,-1.05,-0.46,-0.96,0.33,1
28.86,1,0,1,611,0.08,-0.13,-1.05,-0.61,-1.25,0.34,1
28.81,1,0,1,609,0.08,-0.13,-1.05,-0.4,-1.09,0.26,1
28.91,1,0,1,609,0.08,-0.12,-1.05,-0.51,-0.89,0.34,1
28.81,1,0,1,609,0.07,-0.13,-1.05,-0.56,-1.07,0.22,1
28.81,1,0,1,609,0.08,-0.13,-1.05,-0.6,-0.97,0.23,1
28.81,1,0,1,609,0.08,-0.13,-1.05,-0.6,-1.23,0.13,1
28.91,1,0,1,613,0.08,-0.13,-1.05,-0.42,-1.01,0.11,1
28.81,1,0,1,612,0.09,-0.13,-1.06,-0.55,-0.92,0.16,1
28.81,1,0,1,614,0.08,-0.13,-1.06,-0.32,-0.98,0.32,1
28.81,1,0,1,615,0.08,-0.13,-1.05,-0.51,-0.89,0.14,1
28.81,1,0,1,610,0.08,-0.13,-1.05,-0.53,-1.07,0.06,1
28.81,1,0,1,609,0.09,-0.13,-1.06,-0.45,-0.91,-0.11,1
28.72,1,0,1,610,0.08,-0.13,-1.06,-0.72,-1.11,0.17,1
28.91,1,0,1,610,0.08,-0.12,-1.05,-0.6,-0.89,0.2,1
28.72,1,0,1,606,0.08,-0.13,-1.05,-0.55,-1,0.32,1
28.77,1,0,1,609,0.08,-0.13,-1.06,-0.36,-1.31,0.05,1
28.86,1,0,1,606,0.08,-0.12,-1.05,-0.35,-0.98,0.12,1
28.77,1,0,1,608,0.08,-0.13,-1.04,-0.68,-1.11,0.25,1
28.86,1,0,1,609,0.08,-0.13,-1.05,-0.42,-1.13,0.18,1
28.77,1,0,1,606,0.08,-0.13,-1.05,-0.56,-1.05,0.23,1
28.77,1,0,1,607,0.09,-0.12,-1.05,-0.37,-1.13,0.26,1
28.77,1,0,1,608,0.08,-0.13,-1.05,-0.57,-0.88,0.02,1
28.91,1,0,1,606,0.08,-0.13,-1.05,-0.63,-1.24,0.04,1
28.77,1,0,1,605,0.08,-0.13,-1.05,-0.39,-1.15,0.03,1
28.81,1,0,1,608,0.08,-0.13,-1.05,-0.51,-1.04,0.11,1
28.86,1,0,1,610,0.08,-0.13,-1.05,-0.49,-1.03,0.18,1
28.81,1,0,1,609,0.08,-0.13,-1.05,-0.6,-1.1,0.33,1
28.81,1,0,1,608,0.08,-0.13,-1.05,-0.3,-1.08,0.15,1
28.81,1,0,1,609,0.08,-0.13,-1.04,-0.54,-1.15,0.19,1
28.81,1,0,1,608,0.08,-0.13,-1.06,-0.54,-1.18,0.16,1
28.81,1,0,1,609,0.07,-0.14,-1.05,-0.46,-1.17,0.23,1
28.81,1,0,1,608,0.08,-0.13,-1.06,-0.65,-0.9,0.22,1
28.81,1,0,1,608,0.08,-0.13,-1.04,-0.49,-0.8,0.23,1
28.81,1,0,1,610,0.08,-0.13,-1.05,-0.36,-1.08,0.25,1
28.91,1,0,1,611,0.08,-0.13,-1.05,-0.5,-0.95,0.21,1
28.86,1,0,1,613,0.08,-0.13,-1.05,-0.33,-0.76,0.26,1
28.86,1,0,1,614,0.08,-0.13,-1.04,-0.37,-1.16,0.08,1
28.77,1,0,1,611,0.09,-0.13,-1.04,-0.53,-1.08,-0.01,1
28.86,1,0,1,610,0.08,-0.13,-1.05,-0.32,-1.01,0.09,1
28.86,1,0,1,609,0.08,-0.13,-1.05,-0.44,-1,0.16,1
28.86,1,0,1,608,0.08,-0.13,-1.05,-0.4,-0.89,0.02,1
28.86,1,0,1,610,0.08,-0.13,-1.05,-0.44,-0.98,0.36,1
28.86,1,0,1,612,0.08,-0.13,-1.05,-0.58,-1.08,0.18,1
28.81,1,0,1,608,0.08,-0.13,-1.05,-0.4,-0.97,0.19,1
28.81,1,0,1,607,0.08,-0.13,-1.05,-0.38,-1.1,0.21,1
28.91,1,0,1,607,0.08,-0.13,-1.05,-0.5,-0.98,0.12,1
28.91,1,0,1,606,0.08,-0.13,-1.05,-0.23,-1.15,0.1,1
28.91,1,0,1,606,0.08,-0.13,-1.05,-0.42,-1,0.11,1
28.81,1,0,1,605,0.08,-0.14,-1.05,-0.45,-1.15,0.17,1
28.81,1,0,1,607,0.09,-0.13,-1.05,-0.53,-1.04,0.22,1
28.91,1,0,1,605,0.08,-0.13,-1.05,-0.45,-1.02,0.18,1
28.81,1,0,1,607,0.07,-0.13,-1.04,-0.44,-1.14,0.21,1
28.86,1,0,1,607,0.08,-0.13,-1.05,-0.27,-0.95,0.17,1
28.86,1,0,1,606,0.08,-0.13,-1.04,-0.36,-0.87,0.25,1
28.77,1,0,1,606,0.09,-0.13,-1.05,-0.46,-1.23,0.11,1
28.86,1,0,1,606,0.09,-0.13,-1.05,-0.52,-1.03,0.24,1
28.77,1,0,1,608,0.08,-0.13,-1.05,-0.37,-1.03,0.14,1
28.86,1,0,1,608,0.08,-0.13,-1.05,-0.53,-1.12,-0.01,1
28.86,1,0,1,607,0.08,-0.13,-1.05,-0.54,-1.1,0.12,1
28.86,1,0,1,609,0.08,-0.13,-1.05,-0.44,-0.91,0.01,1
28.86,1,0,1,609,0.08,-0.13,-1.05,-0.5,-1.02,0.14,1
29.75,1,0,0,469,0.05,-0.02,-0.29,-9.85,-2.61,0.4,1
29.66,1,0,0,471,0.11,-0.11,-1.72,6.55,0.67,-0.51,1
29.75,1,0,1,474,0.1,-0.1,-1.38,-4.5,-1.61,0.82,1
29.61,1,0,0,471,0.06,-0.01,-0.18,-16.2,-2.96,1.37,1
29.66,1,0,0,469,0.1,-0.08,-1.4,0.86,-1.34,-0.34,1
29.71,1,0,1,473,0.07,-0.12,-1.58,8.07,-0.37,-0.62,1
29.66,1,0,1,470,0.06,-0.01,-0.18,-16.47,-2.62,1.5,1
29.71,1,0,0,471,0.09,-0.09,-1.49,2.37,-0.31,-0.56,1
29.61,1,0,1,474,0.1,-0.1,-1.36,-5.37,-3.97,0.76,1
29.71,1,0,0,469,0.05,-0.01,-0.2,-11.15,-1.95,0.6,1
29.71,1,0,0,473,0.1,-0.12,-1.94,13.48,0.84,-0.96,1
29.71,1,0,1,475,0.06,-0.04,-0.76,-5.53,-3.01,0.71,1
29.71,1,0,0,470,0.05,-0.06,-0.87,-8.95,-1.61,0.51,1
29.71,1,0,1,473,0.08,-0.12,-1.66,2.47,-1.03,-0.03,1
29.71,1,0,0,473,0.05,-0.01,-0.17,-10.61,-1.47,0.65,1
29.61,1,0,0,475,0.11,-0.13,-1.99,19.7,2.66,-1.09,1
29.71,1,0,1,473,0.05,-0.03,-0.35,-13.5,-3.74,1.19,1
29.71,1,0,0,475,0.13,-0.1,-1.62,4.69,-2.29,-0.73,1
29.71,1,0,1,475,0.07,-0.05,-0.77,-3.75,-0.15,0.88,1
29.71,1,0,0,473,0.08,-0.07,-1.19,-4.68,-0.3,0.34,1
29.8,1,0,1,476,0.08,-0.06,-1.08,2.22,-1.31,-0.25,1
29.71,1,0,1,476,0.06,-0.06,-0.95,-5.1,-1.05,0.4,1
29.66,1,0,1,479,0.08,-0.06,-1.15,3.62,-0.37,-0.14,1
29.66,1,0,0,473,0.05,-0.06,-0.97,-1.14,-0.82,-0.72,1
29.66,1,0,1,477,0.09,-0.08,-1.05,-0.61,-2.37,0.3,1
29.66,1,0,1,474,0.07,-0.07,-1.2,-6.45,-0.93,0.33,1
29.71,1,0,1,479,0.08,-0.05,-0.79,0.37,-1.71,0.08,1
29.71,1,0,0,474,0.13,-0.09,-1.68,5.11,-3.48,-1.24,1
29.71,1,0,1,473,0.04,-0.02,-0.33,-13.79,-3.52,1.24,1
29.71,1,0,0,475,0.09,-0.14,-2,19.65,1,-0.92,1
29.71,1,0,0,471,0.05,-0.01,-0.14,-18.61,-2.93,1.18,1
29.71,1,0,0,477,0.1,-0.12,-1.6,3.23,-2.82,0.48,1
29.71,1,0,1,473,0.06,-0.06,-0.92,-3.41,-1.68,-0.31,1
29.71,1,0,1,475,0.06,-0.05,-0.64,-3.4,-0.97,0.62,1
29.71,1,0,0,476,0.12,-0.14,-2,11.95,-0.12,-0.24,1
29.71,1,0,0,473,0.07,0,-0.2,-13.48,-3.22,0.72,1
29.71,1,0,1,476,0.09,-0.1,-1.28,-3.5,-0.49,0.8,1
29.71,1,0,0,473,0.1,-0.11,-1.69,1.6,-0.7,0.04,1
29.61,1,0,0,474,0.04,0,-0.1,-17.43,-2.44,1.11,1
29.71,1,0,1,477,0.11,-0.09,-1.44,1.06,-0.19,0.12,1
29.71,1,0,0,473,0.09,-0.1,-1.65,1.67,-0.54,-0.02,1
