Temperature (C),Humidity (%),Acceleration X,Acceleration Y,Acceleration Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Mag X,Mag Y,Mag Z,Distance (cm)
25.6,65.9,-224,-2896,-16112,167,-447,382,-38,-81,-287,2.32
25.6,66.4,-256,-2704,-16136,263,139,168,-35,-87,-277,2.33
25.6,66.6,-224,-2976,-15632,32,-83,9,-41,-88,-287,2.32
25.6,66.9,-104,-3016,-15936,-132,637,-168,-35,-85,-291,2.32
25.7,67.1,-152,-2976,-15944,-99,-43,-296,-25,-82,-284,2.31
25.7,67.1,-184,-2704,-15344,-114,153,-288,-34,-86,-294,2.32
25.7,67.4,-96,-2768,-15840,143,-146,-180,-42,-75,-272,2.32
25.7,67.6,-368,-3112,-16304,-289,380,-369,-68,-60,-282,2.32
25.7,67.4,-176,-3032,-15880,-126,186,104,-61,-21,-277,2.32
25.7,67.2,-64,-2976,-16464,24,246,-282,15,-28,-299,2.32
25.7,67,-384,-2856,-16008,-123,247,28,17,-20,-299,2.32
25.7,66.8,-88,-2992,-15856,-287,229,-324,14,-26,-302,2.32
25.8,66.5,-344,-3000,-15960,191,-321,-49,0,-24,-293,2.31
25.8,66.3,-184,-2896,-16008,35,-93,-508,-7,-19,-286,2.32
25.8,66.2,-264,-2928,-16232,370,-393,250,-12,-25,-294,2.32
25.8,66,-136,-3048,-16048,-247,429,-417,0,-19,-300,2.31
25.8,65.9,-104,-2768,-16024,-186,339,-379,0,-4,-307,2.32
25.8,65.8,-64,-3016,-16760,-48,-664,34,-7,-7,-302,2.32
25.8,65.7,-232,-2752,-15904,146,-36,125,-71,-18,-274,2.33
25.8,65.7,-176,-3128,-15640,30,-561,-59,-64,-57,-264,2.32
25.8,65.7,-128,-2712,-15496,-229,241,-21,-44,-87,-275,2.33
25.8,65.8,40,-2928,-15824,481,316,-123,-16,-90,-289,2.31
25.8,65.9,-72,-2808,-16224,-156,-215,-242,-23,-102,-293,2.33
25.9,66.1,-88,-2784,-16152,-208,252,90,-22,-98,-285,2.33
25.8,66.3,-224,-2864,-15992,250,253,196,-27,-91,-269,2.32
25.9,66.4,-216,-3232,-16032,-231,-82,-79,-35,-90,-275,2.32
25.9,66.6,-160,-2872,-15848,205,15,203,-37,-85,-282,2.32
25.9,66.8,-272,-3016,-16096,117,-308,110,-33,-80,-289,2.32
25.9,66.9,-176,-3008,-15664,190,-139,144,-41,-71,-260,2.32
25.9,67,56,-3136,-16560,-416,184,-315,-97,-64,-271,2.31
25.9,66.9,-72,-2952,-16072,195,194,442,-69,-47,-276,2.31
25.9,66.7,-120,-3040,-15816,117,-212,132,-69,-40,-276,2.32
25.9,66.7,-160,-2872,-15888,70,-470,187,-79,-54,-274,2.32
25.9,66.4,-200,-2888,-15872,-164,-11,-182,-69,-52,-260,2.32
25.9,66.4,-336,-2912,-15808,-61,-31,297,-81,-49,-271,2.32
26,66.4,-424,-3144,-15976,-92,-11,-352,-79,-52,-271,2.31
25.9,66.4,-104,-3032,-15816,-41,154,-118,-66,-53,-263,2.32
26,66.3,-320,-2992,-16088,-228,384,-295,-48,-67,-271,2.31
25.9,66.2,-248,-2816,-15848,-155,457,-432,-60,-52,-287,2.33
26,66.3,-256,-2800,-15040,-211,376,-498,-50,-47,-276,2.32
25.9,66.1,-328,-2856,-15912,208,-199,-267,-61,-36,-284,2.31
26,66.1,-304,-2992,-16136,31,13,-254,-61,-46,-286,2.32
26,66.1,-256,-3096,-15968,-285,384,-124,-61,-53,-286,2.32
26,66,-248,-3056,-15976,-140,265,-778,-67,-47,-292,2.32
26,65.9,-120,-2904,-15824,-151,21,-67,-61,-41,-286,2.31
26,65.9,-224,-3088,-16000,327,207,147,-63,-41,-291,2.31
26,65.8,-200,-3040,-15880,-6,58,129,-64,-49,-283,2.32
26,65.8,-184,-3024,-16016,229,-149,-79,-71,-47,-290,2.32
26,65.8,-184,-2968,-16056,385,-185,266,-58,-36,-286,2.32
26,65.8,-168,-3048,-16072,78,62,355,-63,-43,-289,2.32
26,65.8,-264,-2992,-15776,-271,105,-661,-73,-43,-291,2.32
26,65.8,-160,-3104,-16128,28,-384,203,-60,-37,-278,2.32
26,65.8,88,-3024,-16128,-157,337,-259,-68,-41,-268,2.32
26,65.8,-104,-2952,-15832,-29,-304,54,-55,-42,-276,2.32
26,65.8,-288,-2888,-15712,259,-151,349,-60,-42,-274,2.32
26,65.8,-144,-2832,-16112,149,-106,-212,-64,-45,-269,2.32
26,65.8,-40,-3008,-15880,34,-314,-184,-76,-42,-267,2.32
26,65.8,-408,-2800,-16080,100,87,-24,-70,-48,-263,2.32
26,65.8,-104,-2848,-16040,-60,137,-81,-74,-54,-271,2.32
26,65.9,-128,-3072,-16040,-307,201,14,-70,-36,-268,2.31
26,66,-80,-2992,-15760,94,-109,-61,-62,-57,-274,2.32
26,66,-160,-2992,-16008,-10,-188,97,-73,-51,-265,2.32
26.1,66,64,-3096,-15952,399,40,114,-77,-46,-270,2.32
26.1,65.9,-184,-3008,-16144,445,-74,273,-66,-48,-259,2.33
26.1,65.9,112,-3096,-15896,-176,60,135,-61,-41,-270,2.32
26.1,65.8,-232,-2840,-16032,98,97,239,-70,-51,-270,2.32
26.1,65.8,-264,-2856,-15976,-200,241,-312,-69,-49,-274,2.31
26.1,65.7,-104,-2944,-16008,-137,-176,-184,-70,-53,-275,2.33
26.1,65.7,-272,-3032,-16008,103,61,301,-56,-58,-279,2.33
26,65.7,-216,-2984,-16224,90,-100,270,-41,-52,-269,2.32
26.1,65.7,-168,-2800,-15912,488,-168,316,-62,-42,-269,2.32
26.1,65.6,-128,-3088,-16080,-389,-120,-67,-69,-37,-267,2.32
26.1,65.7,-352,-2992,-16064,185,-192,326,-69,-40,-280,2.33
26.1,65.7,-232,-2976,-16248,-154,-539,-145,-71,-45,-269,2.33
26.1,65.7,32,-3088,-16152,-221,175,-181,-62,-45,-269,2.32
26.1,65.8,-128,-2968,-15848,-123,-301,28,-56,-39,-277,2.33
26.1,65.7,-112,-2832,-15992,38,-100,139,-64,-45,-274,2.31
26.1,65.7,-216,-2912,-16152,97,-400,-36,-66,-36,-275,2.32
26.1,65.6,-48,-2904,-16088,714,113,-153,-62,-49,-276,2.31
26.1,65.5,-152,-2944,-15904,37,117,2,-64,-42,-276,2.32
26.1,65.4,-40,-3016,-16136,-37,107,92,-80,-36,-284,2.41
26.1,65.5,0,-2992,-16000,302,65,811,-66,-41,-263,2.32
26.1,65.5,-288,-3104,-15928,198,-173,-46,-68,-46,-277,2.31
26.1,65.5,-16,-2896,-15840,68,-600,277,-55,-49,-269,2.32
26.1,65.5,-136,-2984,-15960,121,-91,43,-61,-51,-270,2.32
26.1,65.4,32,-3112,-16216,124,-420,18,-48,-57,-278,2.32
26.1,65.4,-64,-3000,-15840,124,5,-30,-64,-49,-287,2.31
26.2,65.5,-384,-3136,-16088,-259,252,-355,-63,-41,-272,2.32
26.1,65.5,-8,-3000,-15880,238,-166,16,-62,-42,-267,2.31
26.2,65.5,-312,-3088,-16224,-146,72,-392,-53,-45,-278,2.31
26.1,65.5,-144,-2896,-16032,443,-300,-116,-56,-43,-275,2.33
26.1,65.5,-224,-3032,-15960,-150,136,38,-61,-39,-270,2.31
26.1,65.5,-176,-3024,-16112,-81,242,-228,-50,-42,-274,2.32
26.2,65.5,-280,-3168,-15896,-383,57,-487,-57,-45,-280,2.32
26.1,65.5,-256,-2920,-16064,387,-243,513,-75,-46,-279,2.32
26.1,65.5,-432,-3232,-15824,-176,129,-36,-60,-49,-274,2.32
26.2,65.5,-288,-3008,-15984,-73,260,86,-66,-41,-265,2.32
26.2,65.4,-96,-2880,-15824,-148,-342,85,-71,-52,-274,2.33
26.2,65.4,-128,-2896,-16088,-428,-223,-73,-54,-39,-270,2.32
26.2,65.4,-336,-3024,-16056,214,15,245,-61,-51,-277,2.32
26.2,65.3,-296,-2920,-16104,492,-153,13,-51,-56,-284,2.32
26.2,65.3,-80,-2984,-16000,-162,-174,-380,-42,-53,-268,2.32
26.2,65.3,-160,-2792,-15872,-173,-40,-444,-53,-45,-260,2.32
26.1,65.2,-216,-3112,-15856,287,-130,12,-68,-41,-272,2.32
26.2,65.1,-176,-2960,-15912,323,-372,221,-62,-40,-260,2.32
26.2,65.1,-200,-3088,-15800,-370,199,-200,-66,-41,-275,2.32
26.2,65,-200,-2896,-16056,243,-313,348,-66,-48,-277,2.32
26.2,64.9,-320,-3160,-15960,-89,265,72,-62,-45,-271,2.32
26.2,64.9,-216,-3048,-15960,172,-287,-168,-56,-53,-265,2.31
26.2,65,-152,-3048,-15856,-11,-76,10,-60,-52,-276,2.32
26.2,65,-272,-2832,-16040,-75,-34,-144,-60,-37,-271,2.32
26.2,64.9,-328,-3104,-15976,-668,-50,-383,-61,-48,-263,2.32
26.2,64.9,-288,-3072,-16024,115,-33,-153,-64,-45,-274,2.32
26.2,64.9,-120,-3016,-16168,-286,515,80,-62,-37,-274,2.32
26.2,64.8,-312,-2976,-15968,-235,145,-800,-58,-31,-275,2.31
26.2,64.8,-88,-2952,-16056,-298,403,-290,-62,-45,-271,2.32
26.2,64.8,-112,-2936,-16088,140,-348,334,-57,-45,-269,2.32
26.2,64.7,-104,-3056,-15888,181,89,-496,-69,-35,-262,2.32
26.2,64.5,-160,-2944,-16008,370,-188,-130,-67,-40,-274,2.31
26.2,64.4,-72,-3128,-16024,-281,30,-29,-58,-43,-279,2.31
26.2,64.4,-104,-3016,-16064,142,-101,372,-63,-36,-275,2.33
26.2,64.4,-96,-2912,-15872,26,70,-23,-56,-36,-272,2.32
26.2,64.3,-240,-2960,-15856,187,-517,341,-71,-47,-278,2.32
26.2,64.3,-24,-3008,-15880,-133,-93,-143,-56,-43,-270,2.32
26.2,64.3,-240,-3072,-15944,63,-155,-285,-54,-63,-270,2.32
26.2,64.3,-104,-3032,-15952,-131,212,-331,-61,-53,-277,2.32
26.2,64.3,-264,-3000,-16056,321,154,116,-56,-39,-284,2.32
26.2,64.3,-136,-3240,-15760,80,119,146,-56,-46,-270,2.32
26.2,64.3,-304,-3048,-15976,-313,94,-205,-64,-49,-274,2.32
26.2,64.3,-144,-3000,-15936,-492,264,-651,-66,-46,-277,2.32
26.2,64.3,-160,-3040,-15976,26,-66,-310,-63,-43,-272,2.31
26.2,64.3,-288,-3184,-15832,-278,407,61,-55,-52,-275,2.32
26.2,64.3,-248,-3080,-16176,118,-119,-24,-75,-48,-265,2.32
26.2,64.2,-96,-2992,-15856,355,-169,-303,-57,-46,-268,2.33
26.2,64.1,-176,-3096,-16008,-389,148,28,-63,-46,-275,2.32
26.2,64.1,-272,-3104,-15840,97,26,-135,-62,-37,-276,2.32
26.2,64.1,144,-2824,-16032,-130,-127,-134,-62,-42,-276,2.31
26.2,64.1,-200,-2984,-16104,209,10,-370,-60,-37,-280,2.31
26.2,64.1,-200,-3048,-16072,415,-64,-156,-57,-45,-276,2.31
26.2,64.1,-336,-2984,-16136,-21,26,-321,-58,-36,-277,2.32
26.2,64.1,-104,-3176,-15992,-177,-31,8,-54,-53,-277,2.32
26.3,64.1,-112,-2696,-16032,-371,117,-198,-54,-46,-277,2.32
26.2,64.1,-344,-2960,-16232,211,241,31,-64,-52,-264,2.32
26.2,64.1,-368,-3136,-16024,-415,180,-344,-55,-35,-271,2.32
26.2,64.1,-248,-2880,-16104,-217,-92,120,-61,-48,-270,2.33
26.3,64.1,-40,-3216,-16048,-139,24,-343,-57,-42,-276,2.32
26.2,64.1,72,-3232,-16136,228,140,-249,-67,-40,-269,2.32
26.2,64.1,-344,-2992,-16064,-445,-115,-21,-73,-36,-272,2.33
26.2,64.1,-280,-3144,-16056,138,-102,-357,-57,-32,-269,2.32
26.3,64.1,-80,-3128,-15976,350,-97,44,-71,-42,-269,2.32
26.3,64.2,-200,-3224,-16000,188,-263,-135,-61,-41,-275,2.32
26.3,64.3,-200,-3024,-15808,-70,237,-406,-68,-39,-284,2.32
26.3,64.6,-176,-2976,-15976,60,90,13,-70,-43,-265,2.32
26.3,64.6,-200,-2944,-16080,-280,21,-239,-66,-43,-272,2.32
26.3,64.6,-152,-2968,-15824,-235,-14,-428,-56,-41,-272,2.32
26.3,64.6,-216,-3016,-15992,39,-405,359,-66,-48,-272,2.32
26.2,64.6,-160,-2992,-15968,146,-202,-60,-74,-42,-262,2.32
26.3,64.7,-192,-3056,-15952,31,-113,556,-66,-51,-279,2.32
26.3,64.7,-344,-3176,-15992,-238,274,-291,-61,-46,-270,2.32
26.3,64.7,-304,-2968,-15792,34,-195,85,-61,-43,-275,2.32
26.3,64.7,-184,-2952,-15872,266,255,114,-58,-48,-275,2.32
26.3,64.7,-320,-2928,-16104,-192,163,-16,-57,-45,-274,2.33
26.3,64.9,-32,-3184,-16112,-160,8,-83,-68,-46,-268,2.32
26.3,65,-136,-2896,-15976,-191,95,-22,-61,-46,-282,2.32
26.3,64.9,-200,-3080,-15984,232,-221,115,-62,-47,-271,2.32
26.3,64.9,-192,-2880,-16240,-74,-45,408,-68,-43,-272,2.31
26.3,64.8,-104,-2912,-15920,55,-62,-29,-63,-39,-265,2.31
26.3,64.7,-64,-3120,-15960,-235,170,-371,-68,-34,-270,2.32
26.3,64.5,-136,-3136,-15904,191,-137,-314,-71,-40,-278,2.32
26.3,64.5,-368,-3072,-15936,-54,-248,333,-55,-45,-271,2.31
26.3,64.5,-264,-3064,-16056,-49,34,77,-62,-52,-276,2.32
26.3,64.4,-344,-3280,-15904,350,-288,-148,-64,-32,-271,2.11
26.3,64.5,-120,-3224,-16016,146,0,82,-57,-40,-269,2.32
26.3,64.5,-272,-2976,-16128,196,-240,-125,-58,-56,-270,2.32
26.3,64.7,-280,-3064,-16040,-217,286,-393,-60,-45,-285,2.32
26.3,64.8,-96,-3064,-15888,-63,202,-301,-63,-46,-272,2.32
26.3,65,-24,-3248,-16160,-139,81,-24,-61,-46,-277,2.31
26.3,65.2,-128,-2952,-15696,-335,145,88,-69,-47,-271,2.32
26.3,65.4,-128,-3216,-16048,147,-26,-283,-63,-46,-272,2.32
26.3,65.5,-232,-3064,-16048,193,3,-368,-58,-48,-272,2.32
26.3,65.6,-344,-2880,-15992,-21,65,-246,-66,-41,-277,2.32
26.3,65.6,-40,-3032,-16216,-452,187,-411,-62,-45,-276,2.31
26.4,65.7,-16,-2880,-15088,88,-295,500,-64,-42,-280,2.32
26.4,65.8,-280,-3008,-16120,311,-150,68,-51,12,-298,2.32
26.3,65.8,-48,-3008,-16296,179,-86,-157,3,-15,-304,2.32
26.3,65.7,-144,-3024,-16040,-19,199,-81,17,-32,-311,2.32
26.4,65.6,-216,-2904,-16040,-223,183,-289,1,-18,-292,2.32
26.3,65.5,32,-3064,-15816,-207,378,-112,-11,-19,-284,2.31
26.4,65.5,-24,-3208,-15944,-50,461,-343,-12,-18,-297,2.32
26.4,65.6,-256,-3008,-16120,316,-202,154,0,-14,-305,2.32
26.4,65.6,-112,-3016,-15920,391,39,317,-9,-21,-300,2.31
26.4,65.6,-496,-3296,-16864,-102,-271,-186,-2,-9,-309,2.32
26.4,65.5,-192,-3256,-16040,-140,-270,-299,-73,-36,-298,2.32
26.4,65.5,-144,-2904,-16024,252,-215,379,-97,-67,-257,2.32
26.4,65.5,-184,-2944,-15424,239,118,609,-25,-82,-259,2.31
26.4,65.6,-80,-3000,-16080,52,-361,186,-24,-103,-290,2.32
26.4,65.8,-272,-3184,-15808,138,-168,-333,-18,-97,-275,2.32
26.4,66.5,-192,-3040,-15920,-180,403,-355,-18,-97,-284,2.32
26.4,67,-192,-3144,-15984,-49,-171,37,-29,-103,-283,2.32
26.4,67.1,-168,-2992,-16040,-8,339,-183,-33,-92,-286,2.32
26.4,67.3,-312,-3056,-15792,-46,-104,-60,-21,-97,-291,2.32
26.4,67.4,-456,-3072,-15896,-32,35,-277,-30,-82,-296,2.32
26.4,67.5,-272,-3208,-15936,-141,19,-296,-23,-87,-291,2.33
26.4,67.5,48,-3048,-16032,126,18,-335,-27,-79,-290,2.32
26.4,67.4,-144,-3048,-16056,156,-196,214,-31,-91,-299,2.32
26.5,67.4,-112,-3032,-15992,353,-254,247,-34,-88,-299,2.32
26.5,67.3,-296,-3064,-16032,-30,-172,213,-25,-90,-298,2.32
26.5,67.4,-264,-3040,-15912,181,-166,-59,-37,-85,-298,2.31
26.5,67.5,-128,-3144,-16360,-33,111,-440,-30,-80,-291,2.32
26.5,67.5,0,-2992,-16152,455,-251,171,-29,-86,-294,2.32
26.5,67.6,-40,-3232,-15888,-311,-202,-586,-25,-87,-293,2.32
26.5,67.8,-96,-3184,-15864,-244,233,-247,-20,-88,-294,2.32
26.5,67.8,-88,-2888,-15960,275,105,-245,-29,-86,-292,2.32
26.5,67.8,40,-3016,-15976,-87,184,-231,-34,-84,-299,2.32
26.5,67.9,-112,-2928,-15976,-166,206,-384,-27,-81,-280,2.32
26.5,67.8,-248,-3008,-16040,-370,-6,-447,-29,-81,-297,2.33
26.5,67.8,-152,-3184,-15968,52,-15,-154,-33,-87,-293,2.32
26.5,67.8,-240,-3056,-16040,-238,124,198,-28,-90,-302,2.32
26.5,67.7,-136,-2960,-16048,-131,264,-87,-33,-73,-298,2.32
26.5,67.7,-168,-3008,-16152,-98,174,-55,-28,-87,-296,2.33
26.5,67.7,-152,-3056,-15896,-11,181,-158,-24,-93,-287,2.32
26.5,67.7,-280,-2880,-16048,-195,-57,-240,-31,-88,-299,2.32
26.5,67.7,-120,-3088,-15832,214,-53,-354,-27,-86,-294,2.32
26.5,67.7,-200,-3008,-15936,117,-78,-126,-30,-82,-302,2.33
26.5,67.7,-344,-3072,-15952,-102,6,-297,-24,-91,-294,2.32
26.5,67.7,-224,-2992,-15936,-162,58,-129,-30,-87,-291,2.32
26.5,67.7,-248,-3288,-16032,-75,123,-99,-31,-84,-290,2.33
26.5,67.7,-248,-2896,-16080,-131,162,295,-29,-81,-290,2.32
26.5,67.6,-304,-3024,-15832,-82,292,251,-28,-82,-296,2.32
26.5,67.7,-240,-3040,-15896,215,-185,311,-35,-85,-286,2.33
26.5,67.7,-400,-2848,-15920,-522,335,-476,-27,-96,-301,2.33
26.5,67.9,-224,-3152,-15784,-136,199,-44,-25,-90,-296,2.32
26.5,67.9,-288,-3000,-16064,498,-125,74,-31,-88,-294,2.33
26.5,67.9,-112,-3128,-15944,-362,304,-191,-24,-91,-297,2.32
26.5,67.9,-120,-3128,-15880,-281,390,-376,-28,-87,-296,2.32
26.5,67.8,-336,-3072,-15944,-103,476,-136,-43,-86,-299,2.32
26.6,67.9,-208,-3040,-15952,-28,-189,-169,-28,-90,-289,2.32
26.5,67.9,-32,-3176,-16024,-150,274,71,-22,-79,-297,2.31
26.5,67.9,-136,-3128,-15952,-245,368,-676,-30,-87,-296,2.32
26.5,67.9,-80,-2920,-16152,-176,67,245,-27,-81,-294,2.32
26.5,67.9,-168,-3288,-15824,354,24,-131,-35,-82,-296,2.32
26.5,67.9,-240,-3088,-16008,215,58,38,-27,-91,-292,2.31
26.6,67.8,-120,-2872,-15944,116,-89,-46,-31,-91,-292,2.33
26.6,67.9,-72,-3120,-16016,57,-185,-310,-24,-79,-285,2.32
26.6,67.9,-296,-3264,-15912,-182,215,-261,-27,-84,-299,2.32
26.6,68,-216,-2896,-16192,-13,-300,94,-30,-90,-296,2.32
26.5,67.9,64,-2896,-15904,82,-107,-106,-35,-85,-298,2.32
26.6,67.9,-216,-3200,-16048,348,-252,-17,-30,-85,-302,2.32
26.6,67.9,-224,-2952,-16016,-62,-267,-45,-24,-76,-290,2.32
26.6,67.8,24,-3120,-15784,-38,173,-45,-35,-90,-300,2.32
26.6,67.8,-16,-3072,-16072,-21,-117,-145,-30,-85,-284,2.31
26.6,67.7,-288,-3144,-15880,1,251,143,-30,-87,-291,2.33
26.6,67.7,-304,-3072,-16064,-344,-38,-175,-35,-92,-291,2.32
26.6,67.7,-88,-3040,-15960,37,284,-20,-28,-85,-289,2.32
26.5,67.7,-232,-3136,-15912,-215,-92,207,-27,-86,-283,2.32
26.6,67.8,-336,-3056,-16040,-368,270,-284,-29,-91,-292,2.32
26.6,67.9,-272,-3016,-16048,462,-373,-185,-29,-93,-292,2.32
26.6,68,-160,-3232,-15864,-119,-19,-185,-30,-87,-293,2.31
26.6,68.1,-24,-3176,-16032,-189,185,-151,-35,-85,-298,2.32
26.6,68.1,-136,-3032,-16016,-370,104,-54,-40,-80,-289,2.32
26.6,68.1,-320,-3304,-15832,-62,-289,621,-30,-90,-298,2.32
26.6,68,-296,-3112,-15896,-565,-21,-402,-24,-76,-287,2.32
